"","topDirector","topActor","CastGenderAVG","budget","popularity","revenue","runtime","vote_average","vote_count","holiday_month","num_lang","original_isEnglish","country_USA","country_UK","country_Germany","country_France","country_Canada","country_Austr","genre_Action","genre_Adventure","genre_Fantasy","genre_Science Fiction","genre_Crime","genre_Drama","genre_Thriller","genre_Animation","genre_Family","genre_Western","genre_Comedy","genre_Romance","genre_Horror","genre_Mystery","genre_History","genre_War","genre_Music","genre_Documentary","genre_Foreign","genre_TV Movie"
"100",0,0,1.85,38000000,6.909942,207283925,106,6.6,3428,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",1,1,1.51428571428571,150000000,60.269279,333932083,166,7.3,3292,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"102",1,1,1.78378378378378,160000000,3.195174,353624124,132,7.1,5181,1,5,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0,1,1.51282051282051,160000000,127.284427,653428261,137,6.6,3984,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",0,0,1.66666666666667,150000000,35.580815,215283742,109,5.8,1470,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"105",0,0,1.66666666666667,160000000,21.133748,181674817,99,5.5,583,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",0,1,1.45,170000000,56.268916,299370084,113,6.5,1725,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",0,0,1.67857142857143,160000000,42.986467,798958165,93,6,2278,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"108",0,1,1.76744186046512,160000000,63.148529,433677183,123,6.3,2268,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,1,1.82142857142857,155000000,202.042635,440603537,126,5.8,3631,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",0,0,1.73333333333333,155000000,49.661984,415686217,113,6.2,1514,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"111",0,1,1.9125,140000000,34.20669,449220945,183,6.6,1791,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"112",0,0,1.83333333333333,150000000,25.468493,709709780,144,6.6,4040,1,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
